Date,price,bond_price,discount,7_day_average
21-10-2021,959.86,902.01,6.42%,4.02%
22-10-2021,945.64,894.41,5.78%,4.88%
23-10-2021,1042.61,985.81,5.88%,5.05%
24-10-2021,1130.73,1081.65,4.64%,5.15%
25-10-2021,1200.29,1150.62,4.38%,5.43%
26-10-2021,1189.21,1139.79,4.38%,5.36%
27-10-2021,1094.48,1059.21,3.62%,5.01%
28-10-2021,1159.39,1115.28,4.28%,4.71%
29-10-2021,1173.76,1117.78,5.04%,4.60%
30-10-2021,1179.38,1125.81,4.78%,4.45%
31-10-2021,1104.44,1065.57,3.94%,4.35%
01-11-2021,1089.3,1047.64,4.06%,4.30%
02-11-2021,1090.97,1048.11,4.12%,4.26%
03-11-2021,1073.31,1017.05,5.63%,4.55%
04-11-2021,1034.6,986.95,4.84%,4.63%
05-11-2021,961.38,918.6,4.69%,4.58%
06-11-2021,901.74,871.58,3.49%,4.40%
07-11-2021,890.03,853.16,4.36%,4.46%
08-11-2021,956.15,926.82,3.22%,4.34%
09-11-2021,962.13,929.37,3.62%,4.26%
10-11-2021,923.86,896.15,3.16%,3.91%
11-11-2021,897.98,870.08,3.44%,3.71%
12-11-2021,898.09,860.29,4.42%,3.67%
13-11-2021,883.25,852.52,3.63%,3.69%
14-11-2021,878.35,856.11,2.85%,3.48%
15-11-2021,873.63,850.79,2.84%,3.42%
16-11-2021,797.48,773.69,3.12%,3.35%
17-11-2021,730.76,711.25,2.77%,3.30%
18-11-2021,765.98,763.08,1.02%,2.95%
19-11-2021,739.79,716.67,3.28%,2.79%
20-11-2021,787.3,770.49,2.68%,2.65%
21-11-2021,826.72,812.59,2.30%,2.57%
22-11-2021,906.69,878.27,3.31%,2.64%
23-11-2021,872.14,853.78,2.54%,2.56%
24-11-2021,852.71,843.91,1.54%,2.38%
25-11-2021,841.68,820.89,2.82%,2.64%
26-11-2021,778.46,758.69,2.70%,2.56%
27-11-2021,725.57,701.89,3.47%,2.67%
28-11-2021,726.44,709.72,2.78%,2.74%
29-11-2021,774.62,749.41,3.56%,2.77%
30-11-2021,821.2,799.6,2.86%,2.82%
